"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1892","FAQ: 'Хочу сразу несколько самокатов! Так можно?' — проверка отображения ответа","tests","Sat Aug 02 09:57:06 GMT+05:00 2025","passed","Sat Aug 02 09:57:08 GMT+05:00 2025","TestFAQ","test_faq","",""
"Тест проверяет успешное оформление заказа через верхнюю и нижнюю кнопку 'Заказать'","3712","Позитивный тест оформления заказа с кнопки 'верхняя'","tests","Sat Aug 02 09:58:37 GMT+05:00 2025","passed","Sat Aug 02 09:58:41 GMT+05:00 2025","TestOrder","test_order","",""
"","1995","FAQ: 'Можно ли отменить заказ?' — проверка отображения ответа","tests","Sat Aug 02 09:57:56 GMT+05:00 2025","passed","Sat Aug 02 09:57:58 GMT+05:00 2025","TestFAQ","test_faq","",""
"","1909","FAQ: 'Сколько это стоит? И как оплатить?' — проверка отображения ответа","tests","Sat Aug 02 09:56:56 GMT+05:00 2025","passed","Sat Aug 02 09:56:58 GMT+05:00 2025","TestFAQ","test_faq","",""
"","2010","FAQ: 'Можно ли заказать самокат прямо на сегодня?' — проверка отображения ответа","tests","Sat Aug 02 09:57:27 GMT+05:00 2025","passed","Sat Aug 02 09:57:29 GMT+05:00 2025","TestFAQ","test_faq","",""
"","1863","FAQ: 'Можно ли продлить заказ или вернуть самокат раньше?' — проверка отображения ответа","tests","Sat Aug 02 09:57:37 GMT+05:00 2025","passed","Sat Aug 02 09:57:38 GMT+05:00 2025","TestFAQ","test_faq","",""
"Тест проверяет успешное оформление заказа через верхнюю и нижнюю кнопку 'Заказать'","3786","Позитивный тест оформления заказа с кнопки 'нижняя'","tests","Sat Aug 02 09:58:49 GMT+05:00 2025","passed","Sat Aug 02 09:58:53 GMT+05:00 2025","TestOrder","test_order","",""
"","1931","FAQ: 'Вы привозите зарядку вместе с самокатом?' — проверка отображения ответа","tests","Sat Aug 02 09:57:46 GMT+05:00 2025","passed","Sat Aug 02 09:57:48 GMT+05:00 2025","TestFAQ","test_faq","",""
"
    Когда пользователь находится на странице заказа и нажимает на логотип 'Самокат',
    должен произойти переход на главную страницу сайта.
    ","1333","Проверка редиректа на главную при клике на логотип Самоката","tests","Sat Aug 02 09:58:17 GMT+05:00 2025","passed","Sat Aug 02 09:58:18 GMT+05:00 2025","TestLogoLinks","test_logo_links","",""
"
    Когда пользователь находится на главной странице и нажимает на логотип 'Яндекс',
    в новом окне должен открыться сайт 'Дзен' (https://dzen.ru).
    ","2862","Проверка открытия Дзена при клике по логотипу Яндекса","tests","Sat Aug 02 09:58:26 GMT+05:00 2025","passed","Sat Aug 02 09:58:29 GMT+05:00 2025","TestLogoLinks","test_logo_links","",""
"","2059","FAQ: 'Я жизу за МКАДом, привезёте?' — проверка отображения ответа","tests","Sat Aug 02 09:58:06 GMT+05:00 2025","passed","Sat Aug 02 09:58:08 GMT+05:00 2025","TestFAQ","test_faq","",""
"","1890","FAQ: 'Как рассчитывается время аренды?' — проверка отображения ответа","tests","Sat Aug 02 09:57:16 GMT+05:00 2025","passed","Sat Aug 02 09:57:18 GMT+05:00 2025","TestFAQ","test_faq","",""
